task,advice_type,seed,checkpoint_batch,sequence_length,num_examples,loss,bit_error_rate,exact_sequence_accuracy,classification_accuracy,cost
even-palindrome,none,1005,100000,30,500,0.7223115617036819,0.21200000166893004,0.7880000162124634,0.7880000162124634,0.212
even-palindrome,none,1005,100000,50,500,1.224091351032257,0.41200000166893,0.588000009059906,0.588000009059906,0.412
even-palindrome,none,1005,100000,100,500,1.0634997391700745,0.494000004529953,0.5060000139474868,0.5060000139474868,0.494
even-palindrome,combined,1000,100000,10,500,0.08188159830722724,0.02600000038743019,0.9739999985694885,0.9739999985694885,0.026
even-palindrome,combined,1000,100000,20,500,0.5965705905109644,0.14600000277161598,0.8540000200271607,0.8540000200271607,0.146
even-palindrome,combined,1000,100000,30,500,1.6600574111938478,0.4299999976158142,0.5700000154972077,0.5700000154972077,0.43
even-palindrome,combined,1000,100000,50,500,2.053010787963867,0.4940000021457672,0.5060000157356263,0.5060000157356263,0.494
even-palindrome,combined,1000,100000,100,500,1.5052219319343567,0.5000000011920929,0.5000000095367432,0.5000000095367432,0.5
even-palindrome,combined,1001,100000,10,500,2.0631931701986516e-08,0.0,1.0,1.0,0.0
even-palindrome,combined,1001,100000,20,500,0.18185000818490438,0.018000000268220902,0.9819999957084655,0.9819999957084655,0.018
even-palindrome,combined,1001,100000,30,500,4.128366465568543,0.2580000039935112,0.7420000123977661,0.7420000123977661,0.258
even-palindrome,combined,1001,100000,50,500,23.8082173538208,0.5979999959468841,0.40200000762939453,0.40200000762939453,0.598
even-palindrome,combined,1001,100000,100,500,11.282820777893066,0.5180000019073486,0.4820000112056732,0.4820000112056732,0.518
even-palindrome,combined,1002,100000,10,500,0.0067799108161125336,0.0,1.0,1.0,0.0
even-palindrome,combined,1002,100000,20,500,0.32632010102272035,0.11000000283122063,0.8900000166893005,0.8900000166893005,0.11
even-palindrome,combined,1002,100000,30,500,0.5815370070934296,0.26400000259280204,0.7360000109672546,0.7360000109672546,0.264
even-palindrome,combined,1002,100000,50,500,1.0729932379722595,0.45799999952316284,0.5420000088214875,0.5420000088214875,0.458
even-palindrome,combined,1002,100000,100,500,1.2883218050003051,0.4719999992847443,0.5280000102519989,0.5280000102519989,0.472
even-palindrome,combined,1003,100000,10,500,8.290908192911673e-06,0.0,1.0,1.0,0.0
even-palindrome,combined,1003,100000,20,500,6.536123123168945,0.20600000157952308,0.794000015258789,0.794000015258789,0.206
even-palindrome,combined,1003,100000,30,500,27.284539260864257,0.6980000019073487,0.3020000034570694,0.3020000034570694,0.698
even-palindrome,combined,1003,100000,50,500,8.987941064834594,0.5079999995231629,0.4920000147819519,0.4920000147819519,0.508
even-palindrome,combined,1003,100000,100,500,4.705563068389893,0.4980000019073486,0.5020000147819519,0.5020000147819519,0.498
even-palindrome,combined,1004,100000,10,500,1.1101347948683227e-08,0.0,1.0,1.0,0.0
even-palindrome,combined,1004,100000,20,500,0.00087440599887878,0.0,1.0,1.0,0.0
even-palindrome,combined,1004,100000,30,500,0.04178643198991933,0.010000000149011612,0.9899999976158143,0.9899999976158143,0.01
even-palindrome,combined,1004,100000,50,500,1.065214641819339,0.04400000095367432,0.9560000014305114,0.9560000014305114,0.044
even-palindrome,combined,1004,100000,100,500,7.474917712211609,0.35200000286102295,0.6480000150203705,0.6480000150203705,0.352
even-palindrome,combined,1005,100000,10,500,0.10874920077272691,0.022000000327825547,0.977999997138977,0.977999997138977,0.022
even-palindrome,combined,1005,100000,20,500,0.4944866626150906,0.10200000241398811,0.8980000162124634,0.8980000162124634,0.102
even-palindrome,combined,1005,100000,30,500,1.1857574558258057,0.290000002682209,0.7100000131130219,0.7100000131130219,0.29
even-palindrome,combined,1005,100000,50,500,1.3934342432022095,0.4940000033378601,0.5060000133514404,0.5060000133514404,0.494
even-palindrome,combined,1005,100000,100,500,1.0154183340072631,0.48200000286102296,0.5180000126361847,0.5180000126361847,0.482
